P04_24_0,0.38,1.23,turn on tap
P04_24_1,0.71,1.68,wash hands
P04_24_10,25.55,27.92,pick up peanuts
P04_24_11,32.05,33.51,open packet
P04_24_12,34.11,35.57,open cupboard
P04_24_13,36.16,41.58,put down baking tray
P04_24_14,36.52,39.17,pick up baking tray
P04_24_15,44.19,45.27,open drawer
P04_24_16,45.59,47.32,pick up scales
P04_24_17,50.54,51.25,pick up baking tray
P04_24_18,51.63,52.62,put down scales
P04_24_19,52.75,59.1,put baking tray on scales
P04_24_2,2.44,3.44,dry hands
P04_24_20,65.64,76.15,measure peanuts
P04_24_21,84.66,85.56,open drawer
P04_24_22,86.12,89.47,pick up clip
P04_24_23,89.57,93.49,close packet
P04_24_24,93.5,94.84,open fridge
P04_24_25,94.69,96.82,put away peanuts
P04_24_26,99.89,107.33,put away scales
P04_24_27,108.27,142.47,grind spices
P04_24_28,145.0,152.02,scrape pestle
P04_24_29,153.57,185.96,scrape spices into pan
P04_24_3,5.29,6.57,pick up pan
P04_24_30,188.01,192.48,stir spice paste
P04_24_31,195.17,196.59,open cupboard
P04_24_32,196.75,211.04,read packet
P04_24_33,197.04,201.12,look for coconut powder
P04_24_34,201.31,204.63,open drawer
P04_24_35,211.04,214.16,pick up spoon
P04_24_36,217.14,218.64,open cupboard
P04_24_37,218.74,221.74,pick up bowl
P04_24_38,221.84,231.41,test water
P04_24_39,231.29,233.03,fill bowl with water
P04_24_4,5.97,7.93,put down pan
P04_24_40,232.89,235.23,put down bowl
P04_24_41,238.91,241.62,sprinkle coconut powder
P04_24_42,241.36,246.78,mix coconut powder
P04_24_43,274.3,274.88,open coconut powder
P04_24_44,277.73,280.15,mix coconut powder
P04_24_45,280.35,286.85,stir spice paste
P04_24_46,287.59,300.3,stir coconut milk
P04_24_47,302.41,314.71,spoon coconut milk to spice paste
P04_24_48,319.39,331.02,mix spice paste
P04_24_49,331.34,338.69,turn on hob
P04_24_5,7.58,9.47,pick up slow cooker bowl
P04_24_50,340.67,345.33,spoon coconut milk into pan
P04_24_51,347.0,353.88,mix spice paste
P04_24_52,354.44,355.7,open fridge
P04_24_53,355.8,357.62,pick up beef
P04_24_54,363.74,369.82,open packet
P04_24_55,373.43,395.78,cut beef
P04_24_56,400.23,426.82,cut beef
P04_24_57,431.48,457.06,cut beef
P04_24_58,457.68,459.19,put down scissors
P04_24_59,461.75,470.54,wash hands
P04_24_6,10.56,12.49,put down slow cooker bowl
P04_24_60,471.49,475.45,dry hands
P04_24_61,476.81,480.13,put peanuts in oven
P04_24_62,480.91,490.22,put timer on
P04_24_63,490.73,499.14,stir beef
P04_24_7,12.83,20.35,turn on hob
P04_24_8,20.5,23.24,turn on oven
P04_24_9,24.01,24.92,open fridge
